Wall time,Step,Value
1551578036.2297971,2523,22.875
1551578276.1718915,2563,37.875
1551578396.5797436,2583,27.0
1551578756.4931934,2643,33.0
1551578876.455621,2663,32.875
1551579116.359484,2703,26.625
1551579236.3962514,2723,24.375
1551579476.6144085,2763,28.25
1551579716.4045992,2803,30.25
1551579836.170977,2823,21.125
1551579956.1825528,2843,26.875
1551580076.329875,2863,33.875
1551580196.7501128,2883,34.5
1551580316.3209882,2903,25.0
1551580556.2965567,2943,31.125
1551580676.2146227,2963,25.625
1551580796.2285812,2983,34.25
1551580916.2084434,3003,23.75
1551581156.46476,3043,36.0
1551581276.079771,3063,31.125
1551581396.4630969,3083,19.375
1551581636.1952965,3123,21.375
1551581756.2333753,3143,35.125
1551581876.3043308,3163,35.625
1551582116.3386962,3203,25.0
1551582236.4094505,3223,29.125
1551582476.3466585,3263,24.125
1551582596.678959,3283,28.75
1551582836.1968224,3323,39.75
1551582956.1436253,3343,32.125
1551583076.2456017,3363,46.875
1551583316.1348178,3403,34.0
1551583436.105506,3423,30.375
1551583556.0357838,3443,28.375
1551583796.392772,3483,24.25
1551583916.2118855,3503,34.625
1551584036.0697253,3523,31.375
1551584156.0375369,3543,32.375
1551584396.404382,3583,33.25
1551584516.2116358,3603,36.875
1551584636.1780221,3623,32.125
1551584756.312484,3643,28.875
1551584876.495692,3663,25.375
1551584996.6848605,3683,37.625
1551585116.2782898,3703,33.375
1551585236.3021924,3723,29.0
1551585356.4868243,3743,35.5
1551585596.6835876,3783,40.75
1551585716.2467833,3803,35.125
1551586076.1490815,3863,37.375
1551586555.8692024,3943,23.625
1551586675.741608,3963,30.0
1551586915.8177354,4003,32.625
1551587035.9108508,4023,29.5
1551587155.878309,4043,21.125
1551587396.2940018,4083,34.75
1551587516.381202,4103,26.875
1551587636.1224773,4123,28.75
1551587756.192689,4143,37.25
1551587876.0422332,4163,27.125
1551588235.981409,4223,39.625
1551588356.0239494,4243,26.125
1551588475.8070793,4263,32.625
1551588596.492312,4283,27.125
1551588715.9617445,4303,24.125
1551588836.0540001,4323,25.5
1551588956.148105,4343,29.5
1551589075.8791645,4363,32.375
1551589196.4141877,4383,26.75
1551589315.9164884,4403,35.0
1551589436.0241587,4423,26.125
1551589556.439982,4443,22.875
1551589796.6812587,4482,28.0
1551589915.561528,4501,30.375
1551590036.684019,4521,30.75
1551590276.5351648,4560,29.125
1551590396.1004665,4579,27.125
1551590516.080332,4599,21.125
1551590635.6691523,4618,26.75
1551590756.6781409,4638,39.125
1551590875.749498,4657,33.25
1551590996.8051217,4677,24.625
1551591235.7885659,4715,36.375
1551591356.1485085,4735,25.75
1551591596.597355,4774,30.5
1551591715.748456,4793,30.125
1551591836.158963,4813,35.0
1551592075.5373607,4851,28.25
1551592196.348658,4871,30.5
1551592316.5065427,4891,41.125
1551592436.011912,4910,32.375
1551592555.6766965,4930,32.25
1551592676.1943433,4950,39.25
1551592796.6503806,4970,32.875
1551592916.1368191,4989,31.5
1551593035.7790601,5009,36.25
1551593156.3700259,5029,42.0
1551593276.3260195,5049,27.625
1551593396.052983,5068,42.5
1551593515.732444,5088,26.75
1551593756.2038836,5128,39.375
1551593875.7619116,5147,35.0
1551593995.95784,5167,34.625
1551594116.1800869,5187,24.875
1551594355.7259867,5226,40.125
1551594475.5026252,5246,33.75
1551594596.5212212,5266,26.0
1551594836.0340002,5305,30.375
1551595075.9952137,5345,29.5
1551595316.0551345,5384,32.0
1551595435.5031445,5404,32.625
1551595555.7139912,5424,30.0
1551595676.270098,5444,28.5
1551595796.859271,5464,31.75
1551596035.433583,5503,28.75
1551596156.0366297,5523,24.75
1551596276.5053518,5543,23.125
1551596396.303339,5562,38.125
1551596515.6256826,5582,32.75
1551596636.0861752,5602,24.625
1551596756.49111,5622,36.0
1551596875.9953303,5641,34.625
1551597475.7646916,5740,24.75
1551597716.3160453,5780,34.0
1551597836.2992227,5800,41.75
1551598075.5798645,5839,53.5
1551598196.5134785,5859,29.625
1551598316.5083625,5879,31.0
1551598435.8522782,5898,17.0
1551598555.7462249,5918,34.0
1551598676.2116413,5938,23.875
1551598796.9537616,5958,39.0
1551598915.8658752,5977,23.375
1551599035.7817686,5997,38.625
1551599156.151626,6017,33.625
1551599276.3245807,6037,40.5
1551599636.2868013,6096,32.0
1551599756.1270063,6116,29.25
1551599875.76039,6135,25.375
1551599995.865788,6155,35.5
1551600116.3077257,6175,27.75
1551600356.2271335,6215,31.625
1551600475.5552742,6234,32.125
1551600595.9015958,6254,32.375
1551600716.4396102,6274,41.5
1551600836.23695,6294,24.375
1551600956.0260556,6313,25.0
1551601075.5403156,6333,30.0
1551601196.235977,6353,32.125
1551601316.39919,6373,32.875
1551601436.4382799,6393,25.125
1551601556.3464682,6413,37.5
1551601675.4898314,6432,40.25
1551601796.19434,6452,23.875
1551601916.3330503,6472,26.5
1551602036.5885665,6492,26.75
1551602155.9364386,6511,41.5
1551602396.1734822,6551,29.125
1551602516.254365,6571,34.0
1551602756.30797,6611,22.5
1551602995.8059564,6650,34.125
1551603236.4911537,6690,24.0
1551603356.1054738,6710,27.0
1551603476.0744133,6729,31.75
1551603595.9357796,6749,39.625
1551603716.0669901,6769,37.0
1551603836.3213692,6789,22.75
